brand_id,total_requests,avg_ttfb_ms,p50_ttfb_ms,p95_ttfb_ms,p99_ttfb_ms
411,155,2295,2017.125,4225,5416.049999999997
38,33,2134.5151515151515,1914,4018.0999999999995,7260
