brand_id,total_requests,avg_ttfb_ms,p50_ttfb_ms,p95_ttfb_ms,p99_ttfb_ms
38,68,2109.6323529411766,1925,3946.7999999999993,6686.339999999978
411,1920,2020.3682291666667,1779.7884366087635,3945.181818181818,5564.295999999995
470,35,2197.4285714285716,2084,3673,5125
