"brand_id","brand_name","total_sessions","total_utterances","avg_utterances_per_session"
411,"Playground A",231,2102,9.10
38,"Citizens",9,77,8.56
301,"Auto & General",2,2,1.00
470,"Bupa",2,37,18.50
